,RefSeq Assembly ID,#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
100,GCF_029961625.1,GCF_029961625.1,PRJNA224116,SAMN25755503,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2022CK-00069,na,latest,Complete Genome,Major,Full,2023/05/10,ASM2996162v1,Utah Public Health Laboratory Infectious Disease submission group,GCA_029961625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/961/625/GCF_029961625.1_ASM2996162v1,na,na,na,haploid,bacteria,7050520.0,7050520.0,65.5,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/13/23,6711,6549,88,na
101,GCF_029961645.1,GCF_029961645.1,PRJNA224116,SAMN26028538,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2022CK-00096,na,latest,Complete Genome,Major,Full,2023/05/10,ASM2996164v1,Utah Public Health Laboratory Infectious Disease submission group,GCA_029961645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/961/645/GCF_029961645.1_ASM2996164v1,na,na,na,haploid,bacteria,6986429.0,6986429.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/13/23,6634,6460,82,na
102,GCF_029961665.1,GCF_029961665.1,PRJNA224116,SAMN20960115,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2021CK-01256,na,latest,Complete Genome,Major,Full,2023/05/10,ASM2996166v1,Utah Public Health Laboratory Infectious Disease submission group,GCA_029961665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/961/665/GCF_029961665.1_ASM2996166v1,na,na,na,haploid,bacteria,6557834.0,6557834.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/13/23,6091,5958,80,na
103,GCF_029962145.1,GCF_029962145.1,PRJNA224116,SAMN16822477,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2020CK-00443,na,latest,Complete Genome,Major,Full,2023/05/10,ASM2996214v1,Utah Public Health Laboratory Infectious Disease submission group,GCA_029962145.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/962/145/GCF_029962145.1_ASM2996214v1,na,na,na,haploid,bacteria,6978306.0,6978306.0,65.5,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/14/23,6622,6436,82,na
104,GCF_029962165.1,GCF_029962165.1,PRJNA224116,SAMN25755502,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2022CK-00068,na,latest,Complete Genome,Major,Full,2023/05/10,ASM2996216v1,Utah Public Health Laboratory Infectious Disease submission group,GCA_029962165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/962/165/GCF_029962165.1_ASM2996216v1,na,na,na,haploid,bacteria,7469983.0,7469983.0,65.0,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/14/23,7170,7005,85,na
105,GCF_029962185.1,GCF_029962185.1,PRJNA224116,SAMN26564915,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2022CK-00160,na,latest,Complete Genome,Major,Full,2023/05/10,ASM2996218v1,Utah Public Health Laboratory Infectious Disease submission group,GCA_029962185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/962/185/GCF_029962185.1_ASM2996218v1,na,na,na,haploid,bacteria,7161364.0,7161364.0,65.5,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/14/23,6763,6575,81,na
106,GCF_029962205.1,GCF_029962205.1,PRJNA224116,SAMN23286170,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2021CK-01633,na,latest,Complete Genome,Major,Full,2023/05/10,ASM2996220v1,Utah Public Health Laboratory Infectious Disease submission group,GCA_029962205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/962/205/GCF_029962205.1_ASM2996220v1,na,na,na,haploid,bacteria,7288284.0,7288284.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/14/23,6898,6729,78,na
107,GCF_001447845.1,GCF_001447845.1,PRJNA224116,SAMN04284690,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=VA-134,na,latest,Complete Genome,Major,Full,2015/11/24,ASM144784v1,The Forsyth Institute,GCA_001447845.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/845/GCF_001447845.1_ASM144784v1,na,na,na,haploid,bacteria,6400418.0,6400418.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/05/23,5899,5746,79,26823594
108,GCF_001457615.1,GCF_001457615.1,PRJNA224116,SAMEA2479570,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=NCTC10332,na,latest,Complete Genome,Major,Full,2015/03/22,NCTC10332,SC,GCA_001457615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/615/GCF_001457615.1_NCTC10332,na,assembly from type material,na,haploid,bacteria,6316979.0,6316979.0,66.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),09/24/22,5867,5656,80,na
109,GCF_001482325.1,GCF_001482325.1,PRJNA224116,SAMN04351367,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=12-4-4(59),na,latest,Complete Genome,Major,Full,2015/12/24,ASM148232v1,The Forsyth Institute,GCA_001482325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/482/325/GCF_001482325.1_ASM148232v1,na,na,na,haploid,bacteria,6431911.0,6431911.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/05/23,5985,5847,78,26941150
110,GCF_029916825.1,GCF_029916825.1,PRJNA224116,SAMN33834002,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=59,na,latest,Complete Genome,Major,Full,2023/05/02,ASM2991682v1,Changhai Hospital Affiliated to Naval,GCA_029916825.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/916/825/GCF_029916825.1_ASM2991682v1,na,na,na,haploid,bacteria,7364934.0,7364934.0,65.0,4.0,4.0,4.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/02/23,7101,6933,80,na
111,GCF_028595525.2,GCF_028595525.2,PRJNA224116,SAMN32292837,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=P23,na,latest,Complete Genome,Major,Full,2023/03/16,ASM2859552v2,Nottingham Trent University,GCA_028595525.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/595/525/GCF_028595525.2_ASM2859552v2,na,na,na,haploid,bacteria,6931140.0,6931140.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/01/23,6432,6275,82,na
112,GCF_028595865.2,GCF_028595865.2,PRJNA224116,SAMN32292824,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=P9,na,latest,Complete Genome,Major,Full,2023/03/16,ASM2859586v2,Nottingham Trent University,GCA_028595865.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/595/865/GCF_028595865.2_ASM2859586v2,na,na,na,haploid,bacteria,6990601.0,6990601.0,65.5,3.0,3.0,3.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/01/23,6642,6523,80,na
113,GCF_029856995.1,GCF_029856995.1,PRJNA224116,SAMN31342292,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=HS204,na,latest,Complete Genome,Major,Full,2023/04/24,ASM2985699v1,"Huashan Hospital, Fudan University",GCA_029856995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/856/995/GCF_029856995.1_ASM2985699v1,na,na,na,haploid,bacteria,7272480.0,7272480.0,65.5,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/18/23,6966,6823,80,na
114,GCF_029857015.1,GCF_029857015.1,PRJNA224116,SAMN31342298,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=HS337,na,latest,Complete Genome,Major,Full,2023/04/24,ASM2985701v1,"Huashan Hospital, Fudan University",GCA_029857015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/857/015/GCF_029857015.1_ASM2985701v1,na,na,na,haploid,bacteria,6947386.0,6947386.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),04/25/23,6614,6456,82,na
115,GCF_029201245.1,GCF_029201245.1,PRJNA224116,SAMN33573373,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=SNDPR-01,na,latest,Complete Genome,Major,Full,2023/03/14,ASM2920124v1,Beijing university of technology,GCA_029201245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/201/245/GCF_029201245.1_ASM2920124v1,na,na,na,haploid,bacteria,6423952.0,6423952.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/14/23,5970,5841,79,na
116,GCF_028961985.1,GCF_028961985.1,PRJNA224116,SAMN32964166,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=0201761-1,na,latest,Complete Genome,Major,Full,2023/03/03,ASM2896198v1,NASA,GCA_028961985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/961/985/GCF_028961985.1_ASM2896198v1,na,na,na,haploid,bacteria,6901248.0,6901248.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/04/23,6527,6362,84,na
117,GCF_028751785.1,GCF_028751785.1,PRJNA224116,SAMN17508957,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=HS18-89,na,latest,Complete Genome,Major,Full,2023/02/21,ASM2875178v1,Fudan University,GCA_028751785.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/751/785/GCF_028751785.1_ASM2875178v1,na,na,na,haploid,bacteria,7542056.0,7542056.0,65.0,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/22/23,7147,6955,80,na
118,GCF_028743595.1,GCF_028743595.1,PRJNA224116,SAMN33246675,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=B-3509,na,latest,Complete Genome,Major,Full,2023/02/20,ASM2874359v1,Zymo Research Corporation,GCA_028743595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/743/595/GCF_028743595.1_ASM2874359v1,na,na,na,haploid,bacteria,6846579.0,6846579.0,66.0,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/20/23,6495,6355,83,na
119,GCF_028622015.1,GCF_028622015.1,PRJNA224116,SAMN33193898,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=MF1,na,latest,Complete Genome,Major,Full,2023/02/14,ASM2862201v1,Pontificia Universidad Catolica de Chile,GCA_028622015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/622/015/GCF_028622015.1_ASM2862201v1,na,na,na,haploid,bacteria,7043257.0,7043257.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/17/23,6633,6383,81,na
120,GCF_028622895.1,GCF_028622895.1,PRJNA224116,SAMN32733991,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2022CK-00828,na,latest,Complete Genome,Major,Full,2023/02/15,ASM2862289v1,Utah Public Health Laboratory Infectious Disease submission group,GCA_028622895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/622/895/GCF_028622895.1_ASM2862289v1,na,na,na,haploid,bacteria,6777049.0,6777049.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/17/23,6417,6248,80,na
121,GCF_028607125.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,GCF_028607145.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,GCF_028607165.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,GCF_028607185.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,GCF_028607205.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,GCF_028607225.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,GCF_028607245.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,GCF_028607265.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,GCF_028607285.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,GCF_028607305.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,GCF_028607345.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,GCF_028607365.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,GCF_028607385.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,GCF_028608485.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,GCF_028608505.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,GCF_028608525.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,GCF_028608565.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,GCF_028608585.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,GCF_028608605.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,GCF_028608625.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,GCF_028608645.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,GCF_028608665.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,GCF_028608685.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,GCF_028608705.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,GCF_028608725.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,GCF_028608745.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,GCF_028608765.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,GCF_028608785.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,GCF_028608805.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,GCF_028608825.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,GCF_028608845.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,GCF_028608865.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,GCF_028608885.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,GCF_028608905.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,GCF_028608925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,GCF_028608945.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,GCF_028608965.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,GCF_028608985.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,GCF_028609005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,GCF_028609025.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,GCF_028609045.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,GCF_028609065.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,GCF_028609085.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,GCF_028609105.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,GCF_028609125.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,GCF_028609145.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,GCF_028609185.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,GCF_028609205.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,GCF_028609225.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,GCF_028609245.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,GCF_028609265.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,GCF_028609285.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,GCF_028609305.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,GCF_028609325.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,GCF_028609345.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,GCF_028609365.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,GCF_028609385.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,GCF_028609405.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,GCF_028609425.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,GCF_028609445.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,GCF_028609465.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,GCF_028609485.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,GCF_028609505.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,GCF_028609525.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,GCF_028609545.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,GCF_028609565.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,GCF_028609585.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,GCF_028609605.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,GCF_028609905.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,GCF_028609925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,GCF_028609945.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,GCF_028609965.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,GCF_028609985.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,GCF_028610005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,GCF_028610025.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,GCF_028610045.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,GCF_028610065.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,GCF_028610105.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,GCF_028610145.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,GCF_028610165.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,GCF_028610185.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,GCF_028610205.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,GCF_028403965.1,GCF_028403965.1,PRJNA224116,SAMN32874240,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2856,na,latest,Complete Genome,Major,Full,2023/02/02,ASM2840396v1,Technical university of Denmark,GCA_028403965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/403/965/GCF_028403965.1_ASM2840396v1,na,na,na,haploid,bacteria,7036624.0,7036624.0,65.5,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/02/23,6683,6498,81,na
204,GCF_028403985.1,GCF_028403985.1,PRJNA224116,SAMN32874244,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2867,na,latest,Complete Genome,Major,Full,2023/02/02,ASM2840398v1,Technical university of Denmark,GCA_028403985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/403/985/GCF_028403985.1_ASM2840398v1,na,na,na,haploid,bacteria,7092945.0,7092945.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/02/23,6660,6478,81,na
205,GCF_028404005.1,GCF_028404005.1,PRJNA224116,SAMN32874242,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2858,na,latest,Complete Genome,Major,Full,2023/02/02,ASM2840400v1,Technical university of Denmark,GCA_028404005.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/404/005/GCF_028404005.1_ASM2840400v1,na,na,na,haploid,bacteria,6977699.0,6977699.0,65.5,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/02/23,6561,6367,80,na
206,GCF_028404025.1,GCF_028404025.1,PRJNA224116,SAMN32874249,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2880,na,latest,Complete Genome,Major,Full,2023/02/02,ASM2840402v1,Technical university of Denmark,GCA_028404025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/404/025/GCF_028404025.1_ASM2840402v1,na,na,na,haploid,bacteria,7153626.0,7153626.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/02/23,6742,6554,83,na
207,GCF_028404045.1,GCF_028404045.1,PRJNA224116,SAMN32874241,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2857,na,latest,Complete Genome,Major,Full,2023/02/02,ASM2840404v1,Technical university of Denmark,GCA_028404045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/404/045/GCF_028404045.1_ASM2840404v1,na,na,na,haploid,bacteria,7165834.0,7165834.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/02/23,6755,6573,80,na
208,GCF_028404065.1,GCF_028404065.1,PRJNA224116,SAMN32874243,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2866,na,latest,Complete Genome,Major,Full,2023/02/02,ASM2840406v1,Technical university of Denmark,GCA_028404065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/404/065/GCF_028404065.1_ASM2840406v1,na,na,na,haploid,bacteria,7055952.0,7055952.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/02/23,6643,6455,82,na
209,GCF_028404085.1,GCF_028404085.1,PRJNA224116,SAMN32874245,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2868,na,latest,Complete Genome,Major,Full,2023/02/02,ASM2840408v1,Technical university of Denmark,GCA_028404085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/404/085/GCF_028404085.1_ASM2840408v1,na,na,na,haploid,bacteria,7262764.0,7262764.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/02/23,6908,6709,84,na
210,GCF_028404105.1,GCF_028404105.1,PRJNA224116,SAMN32874250,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2881,na,latest,Complete Genome,Major,Full,2023/02/02,ASM2840410v1,Technical university of Denmark,GCA_028404105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/404/105/GCF_028404105.1_ASM2840410v1,na,na,na,haploid,bacteria,7200635.0,7200635.0,65.5,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/02/23,6818,6637,79,na
211,GCF_027570735.1,GCF_027570735.1,PRJNA224116,SAMN30438107,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=PALA22,na,latest,Complete Genome,Major,Full,2023/01/05,ASM2757073v1,Imperial College London,GCA_027570735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/570/735/GCF_027570735.1_ASM2757073v1,na,na,na,haploid,bacteria,6932838.0,6932838.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/06/23,6480,6336,82,na
212,GCF_027570755.1,GCF_027570755.1,PRJNA224116,SAMN30438108,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=PALA23,na,latest,Complete Genome,Major,Full,2023/01/05,ASM2757075v1,Imperial College London,GCA_027570755.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/570/755/GCF_027570755.1_ASM2757075v1,na,na,na,haploid,bacteria,6374444.0,6374444.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/06/23,5894,5767,79,na
213,GCF_027570815.1,GCF_027570815.1,PRJNA224116,SAMN30438114,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=PALA29,na,latest,Complete Genome,Major,Full,2023/01/05,ASM2757081v1,Imperial College London,GCA_027570815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/570/815/GCF_027570815.1_ASM2757081v1,na,na,na,haploid,bacteria,6748803.0,6748803.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/06/23,6433,6282,84,na
214,GCF_027570895.1,GCF_027570895.1,PRJNA224116,SAMN30438122,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=PALA37,na,latest,Complete Genome,Major,Full,2023/01/05,ASM2757089v1,Imperial College London,GCA_027570895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/570/895/GCF_027570895.1_ASM2757089v1,na,na,na,haploid,bacteria,6437547.0,6437547.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/06/23,5938,5789,79,na
